address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
811 S Mcarthur Ave # G3YHVR,Fresno,CA,93727,372900,2684.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554986_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5576 E Christine Ave,Fresno,CA,93727,320000,2008.0,4.0,3.0,129,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5576-E-Christine-Ave-Fresno-CA-93727/82855993_zpid/
6695 E Floradora Ave,Fresno,CA,93727,525000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/6695-E-Floradora-Ave-Fresno-CA-93727/18652890_zpid/
6906 E Christine Ave,Fresno,CA,93727,294990,1728.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094338986_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6826 E Michigan Ave,Fresno,CA,93727,269000,1514.0,3.0,2.5,38,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6826-E-Michigan-Ave-Fresno-CA-93727/79537723_zpid/
5910 E Se Fillmore Ave,Fresno,CA,93727,320999,2407.0,4.0,3.5,57,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5910-E-Se-Fillmore-Ave-Fresno-CA-93727/2091564966_zpid/
5427 E Laurite Ave,Fresno,CA,93727,273598,1773.0,4.0,2.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5427-E-Laurite-Ave-Fresno-CA-93727/2091252451_zpid/
6931 E Erin Ave,Fresno,CA,93727,270990,2063.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093490699_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
107 N Duke Ave,Fresno,CA,93727,267900,1833.0,3.0,3.0,42,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/107-N-Duke-Ave-Fresno-CA-93727/95524728_zpid/
2344 S Caesar Ave,Fresno,CA,93727,298000,2880.0,4.0,2.5,190,Auction,http://www.zillow.com/homes/for_sale//homedetails/2344-S-Caesar-Ave-Fresno-CA-93727/79541526_zpid/
5181 E Olive Ave UNIT 109,Fresno,CA,93727,479000,7883.0,16.0,14.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5181-E-Olive-Ave-UNIT-109-Fresno-CA-93727/18752809_zpid/
2359 S Rogers Ln,Fresno,CA,93727,255000,1486.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2359-S-Rogers-Ln-Fresno-CA-93727/95516594_zpid/
6182 E Dayton Ave,Fresno,CA,93727,269900,1435.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6182-E-Dayton-Ave-Fresno-CA-93727/89470054_zpid/
